Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
1s2,1S,0,1,,0.0000,,0.0097,L3501
1s.2s,3S,1,3,[,476034.11,],0.10,L3501c202
1s.2s,1S,0,1,[,491373.71,],0.15,L4834c203
1s.2p,3P*,1,3,[,494260.30,],0.10,L3501c202
1s.2p,3P*,2,5,[,494262.57,],0.10,L3501c202
1s.2p,3P*,0,1,[,494265.70,],0.10,L3501c202
1s.2p,1P*,1,3,[,501807.72,],0.10,L3501c202
1s.3s,3S,1,3,[,554753.58,],0.10,L3501c202
1s.3s,1S,0,1,[,558777.01,],0.10,L3501c202
1s.3p,3P*,1,3,[,559499.5,],1.5,L3501c202
1s.3p,3P*,2,5,[,559500.55,],0.80,L3501c202
1s.3p,3P*,0,1,[,559501.45,],0.30,L3501c202
1s.3d,3D,2,5,[,561242.28,],0.10,L3501c202
1s.3d,3D,3,7,[,561242.90,],0.10,L3501c202
1s.3d,3D,1,3,[,561243.43,],0.20,L3501c202
1s.3d,1D,2,5,[,561272.75,],0.10,L3501c202
1s.3p,1P*,1,3,[,561751.95,],0.15,L3501c202
1s.4s,3S,1,3,[,579980.46,],0.10,L3501c202
1s.4s,1S,0,1,[,581595.90,],0.15,L3501c202
1s.4p,3P*,0,1,[,581884.71,],0.10,L3501c202
1s.4p,3P*,1,3,[,581885.11,],0.10,L3501c202
1s.4p,3P*,2,5,[,581885.83,],0.10,L3501c202
1s.4d,3D,1,3,[,582612.15,],0.20,L3501c202
1s.4d,3D,2,5,[,582612.54,],0.10,L3501c202
1s.4d,3D,3,7,[,582613.20,],0.10,L3501c202
1s.4d,1D,2,5,[,582630.08,],0.15,L3501c202
1s.4f,3F*,2,5,[,582642.10,],0.10,L3501c202
1s.4f,3F*,3,7,[,582642.10,],0.10,L3501c202
1s.4f,3F*,4,9,[,582642.10,],0.10,L3501c202
1s.4f,1F*,3,7,[,582643.17,],0.10,L3501c202
1s.4p,1P*,1,3,[,582836.5,],1.2,L6124c204
1s.5s,3S,1,3,[,591183.39,],0.10,L3501c202
1s.5s,1S,0,1,[,591988.68,],0.15,L3501c202
1s.5p,3P*,0,1,[,592132.78,],0.10,L3501c202
1s.5p,3P*,1,3,[,592133.16,],0.10,L3501c202
1s.5p,3P*,2,5,[,592133.83,],0.10,L3501c202
1s.5d,3D,1,3,[,592502.83,],0.20,L3501c202
1s.5d,3D,2,5,[,592503.22,],0.10,L3501c202
1s.5d,3D,3,7,[,592503.88,],0.10,L3501c202
1s.5d,1D,2,5,[,592513.56,],0.15,L3501c202
1s.5f,3F*,2,5,[,592519.24,],0.10,L3501c202
1s.5f,3F*,3,7,[,592519.24,],0.10,L3501c202
1s.5f,3F*,4,9,[,592519.24,],0.10,L3501c202
1s.5f,1F*,3,7,[,592520.24,],0.10,L3501c202
1s.5g,1G,4,9,[,592521.61,],0.20,u46
1s.5g,3G,3,7,[,592521.61,],0.20,u46
1s.5g,3G,4,9,[,592521.61,],0.20,u46
1s.5g,3G,5,11,[,592521.61,],0.20,u46
1s.5p,1P*,1,3,[,592618.4,],2.3,L6124c204
1s.6s,3S,1,3,[,597121.08,],0.10,L3501c202
1s.6s,1S,0,1,[,597579.66,],0.15,L3501c202
1s.6p,3P*,0,1,[,597661.48,],0.10,L3501c202
1s.6p,3P*,1,3,[,597661.86,],0.10,L3501c202
1s.6p,3P*,2,5,[,597662.53,],0.10,L3501c202
1s.6d,3D,1,3,[,597874.68,],0.20,L3501c202
1s.6d,3D,2,5,[,597875.07,],0.10,L3501c202
1s.6d,3D,3,7,[,597875.73,],0.10,L3501c202
1s.6d,1D,2,5,[,597881.65,],0.15,L3501c202
1s.6f,3F*,2,5,[,597884.56,],0.10,L3501c202
1s.6f,3F*,3,7,[,597884.56,],0.10,L3501c202
1s.6f,3F*,4,9,[,597884.56,],0.10,L3501c202
1s.6f,1F*,3,7,[,597885.61,],0.10,L3501c202
1s.6g,1G,4,9,[,597886.23,],0.20,u46
1s.6g,3G,3,7,[,597886.23,],0.20,u46
1s.6g,3G,4,9,[,597886.23,],0.20,u46
1s.6g,3G,5,11,[,597886.23,],0.20,u46
1s.6h,1H*,5,11,[,597886.39,],0.20,u46
1s.6h,3H*,4,9,[,597886.39,],0.20,u46
1s.6h,3H*,5,11,[,597886.39,],0.20,u46
1s.6h,3H*,6,13,[,597886.39,],0.20,u46
1s.6p,1P*,1,3,[,597936.4,],4.6,L6124c204
1s.7s,3S,1,3,[,600643.03,],0.10,L3501c202
1s.7s,1S,0,1,[,600929.7,],2.0,L3501c202
1s.7p,3P*,0,1,[,600979.64,],0.10,u45
1s.7p,3P*,1,3,[,600979.87,],0.10,u45
1s.7p,3P*,2,5,[,600980.29,],0.10,u45
1s.7d,3D,1,3,[,601113.19,],0.20,L3501c202
1s.7d,3D,2,5,[,601113.58,],0.10,L3501c202
1s.7d,3D,3,7,[,601114.24,],0.10,L3501c202
1s.7d,1D,2,5,[,601118.15,],0.15,L3501c202
1s.7f,3F*,2,5,[,601119.54,],0.20,L3501c202
1s.7f,3F*,3,7,[,601119.54,],0.20,L3501c202
1s.7f,3F*,4,9,[,601119.54,],0.20,L3501c202
1s.7f,1F*,3,7,[,601120.68,],0.10,L3501c202
1s.7g,1G,4,9,[,601120.93,],0.20,u46
1s.7g,3G,3,7,[,601120.93,],0.20,u46
1s.7g,3G,4,9,[,601120.93,],0.20,u46
1s.7g,3G,5,11,[,601120.93,],0.20,u46
1s.7h,1H*,5,11,[,601121.04,],0.20,u46
1s.7h,3H*,4,9,[,601121.04,],0.20,u46
1s.7h,3H*,5,11,[,601121.04,],0.20,u46
1s.7h,3H*,6,13,[,601121.04,],0.20,u46
1s.7i,1I,6,13,[,601121.06,],0.20,u46
1s.7i,3I,5,11,[,601121.06,],0.20,u46
1s.7i,3I,6,13,[,601121.06,],0.20,u46
1s.7i,3I,7,15,[,601121.06,],0.20,u46
1s.7p,1P*,1,3,[,601169,],28,"L6124c205,L4191"
1s.8s,3S,1,3,[,602902.11,],0.10,L3501c202
1s.8s,1S,0,1,[,603091.84,],0.20,u45
1s.8p,3P*,0,1,[,603125.82,],0.10,u45
1s.8p,3P*,1,3,[,603125.99,],0.10,u45
1s.8p,3P*,2,5,[,603126.30,],0.10,u45
1s.8d,3D,1,3,[,603214.95,],0.20,L3501c202
1s.8d,3D,2,5,[,603215.34,],0.10,L3501c202
1s.8d,3D,3,7,[,603216.00,],0.10,L3501c202
1s.8d,1D,2,5,[,603218.63,],0.15,L3501c202
1s.8f,3F*,2,5,[,603219.16,],0.20,L3501c202
1s.8f,3F*,3,7,[,603219.16,],0.20,L3501c202
1s.8f,3F*,4,9,[,603219.16,],0.20,L3501c202
1s.8f,1F*,3,7,[,603220.34,],0.10,L3501c202
1s.8g,1G,4,9,[,603220.37,],0.20,u46
1s.8g,3G,3,7,[,603220.37,],0.20,u46
1s.8g,3G,4,9,[,603220.37,],0.20,u46
1s.8g,3G,5,11,[,603220.37,],0.20,u46
1s.8h,1H*,5,11,[,603220.45,],0.20,u46
1s.8h,3H*,4,9,[,603220.45,],0.20,u46
1s.8h,3H*,5,11,[,603220.45,],0.20,u46
1s.8h,3H*,6,13,[,603220.45,],0.20,u46
1s.8i,1I,6,13,[,603220.47,],0.20,u46
1s.8i,3I,5,11,[,603220.47,],0.20,u46
1s.8i,3I,6,13,[,603220.47,],0.20,u46
1s.8i,3I,7,15,[,603220.47,],0.20,u46
1s.8p,1P*,1,3,[,603244.7,],1.0,u45
1s.9s,3S,1,3,[,604437.30,],0.10,u45
1s.9s,1S,0,1,[,604569.65,],0.20,u45
1s.9p,3P*,0,1,[,604593.40,],0.10,u45
1s.9p,3P*,1,3,[,604593.52,],0.10,u45
1s.9p,3P*,2,5,[,604593.75,],0.10,u45
1s.9d,3D,1,3,[,604656.05,],0.20,u45
1s.9d,3D,2,5,[,604656.23,],0.10,u45
1s.9d,3D,3,7,[,604656.55,],0.10,u45
1s.9d,1D,2,5,[,604658.44,],0.15,u45
1s.9f,3F*,2,5,[,604658.68,],0.10,L3501c202
1s.9f,3F*,3,7,[,604658.68,],0.10,L3501c202
1s.9f,3F*,4,9,[,604658.68,],0.10,L3501c202
1s.9g,1G,4,9,[,604659.74,],0.20,u46
1s.9g,3G,3,7,[,604659.74,],0.20,u46
1s.9g,3G,4,9,[,604659.74,],0.20,u46
1s.9g,3G,5,11,[,604659.74,],0.20,u46
1s.9h,1H*,5,11,[,604659.80,],0.20,u46
1s.9h,3H*,4,9,[,604659.80,],0.20,u46
1s.9h,3H*,5,11,[,604659.80,],0.20,u46
1s.9h,3H*,6,13,[,604659.80,],0.20,u46
1s.9f,1F*,3,7,[,604659.83,],0.10,L3501c202
1s.9p,1P*,1,3,[,604676.9,],1.0,u45
1s.10s,3S,1,3,[,605527.73,],0.10,u45
1s.10s,1S,0,1,[,605623.74,],0.20,u45
1s.10p,3P*,0,1,[,605640.99,],0.10,u45
1s.10p,3P*,1,3,[,605641.08,],0.10,u45
1s.10p,3P*,2,5,[,605641.25,],0.10,u45
1s.10d,3D,1,3,[,605686.59,],0.20,u45
1s.10d,3D,2,5,[,605686.73,],0.10,u45
1s.10d,3D,3,7,[,605686.98,],0.10,u45
1s.10d,1D,2,5,[,605688.37,],0.15,u45
1s.10f,3F*,2,5,[,605688.54,],0.20,L3501c202
1s.10f,3F*,3,7,[,605688.54,],0.20,L3501c202
1s.10f,3F*,4,9,[,605688.54,],0.20,L3501c202
1s.10f,1F*,3,7,[,605689.69,],0.20,L3501c202
1s.10p,1P*,1,3,[,605701.8,],1.0,u45
1s.11p,1P*,1,3,[,606460.5,],1.0,u45
1s.12p,1P*,1,3,[,607037.7,],1.0,u45
1s.13p,1P*,1,3,[,607487.1,],1.0,u45
1s.14p,1P*,1,3,[,607843.7,],1.0,u45
Li III (1s 2S<1/2>),Limit,---,,(,610078.5260,),0.0097,L10054
2p2,3P,0,1,,1206000,,2000,L3160
2p2,3P,1,3,,1206000,,2000,L3160
2p2,3P,2,5,,1206000,,2000,L3160
2s.2p,1P*,1,3,,1212200,,400,L4046
2p.3p,3D,1,3,,1291000,,5000,L3160
2p.3p,3D,2,5,,1291000,,5000,L3160
2p.3p,3D,3,7,,1291000,,5000,L3160
2p.3p,3P,1,3,,1292000,,5000,L3160
2p.3p,3P,0,1,,1292000,,5000,L3160
2p.3p,3P,2,5,,1292000,,5000,L3160
2p.3d,3D*,1,3,,1294000,,3000,L3160
2p.3d,3D*,2,5,,1294000,,3000,L3160
2p.3d,3D*,3,7,,1294000,,3000,L3160
2s.3p,1P*,1,3,,1299000,,800,L4046
2s.4p,1P*,1,3,,1322000,,900,L4046
